"label_no","genus","species","sex","year","month","day","country","county","city_town_village","specific_location","HW_mm","intertegular_distance_mm","FW_length_mm","tibia_length_mm","family","ecology","Source","interocular_distance_mm","location_string","latitude","longitude"
"IGproject0068","Nomada","goodeniana","female",1954,4,16,"England","Devon","Torquay","",3.168,2.243,9.924,2.765,"Apidae","kleptoparasite","OUMNH",2.086,"Torquay, Devon, England",50.4652392,-3.5211361
"IGproject0069","Nomada","goodeniana","male",1954,4,29,"England","Devon","Lustleigh","",2.715,1.755,8.14,2.184,"Apidae","kleptoparasite","OUMNH",1.857,"Lustleigh, Devon, England",50.6228301,-3.7304463
"IGproject0070","Nomada","goodeniana","female",1949,4,29,"England","Devon","Exeter","",2.962,1.859,8.801,2.482,"Apidae","kleptoparasite","OUMNH",2.006,"Exeter, Devon, England",50.7256138,-3.5269209
"IGproject0071","Nomada","goodeniana","female",1936,5,27,"England","Berkshire","Slough","",2.93,1.906,9.047,2.397,"Apidae","kleptoparasite","OUMNH",1.938,"Slough, Berkshire, England",51.512103,-0.591276
"IGproject0072","Nomada","goodeniana","male",1903,5,18,"Wales","Gwynedd","Criccieth","",2.774,1.864,8.704,2.284,"Apidae","kleptoparasite","OUMNH",1.934,"Criccieth, Gwynedd, Wales",52.9206106,-4.2332414
"IGproject0073","Nomada","goodeniana","female",1914,4,20,"England","Devon","Budleigh Salterton","",2.936,1.91,8.907,2.471,"Apidae","kleptoparasite","OUMNH",1.935,"Budleigh Salterton, Devon, England",50.6310504,-3.3299844
"IGproject0074","Nomada","goodeniana","male",1915,4,30,"England","Devon","Brixham","",3.223,2.197,10.305,2.826,"Apidae","kleptoparasite","OUMNH",2.215,"Brixham, Devon, England",50.3952404,-3.514544
"IGproject0075","Nomada","goodeniana","male",1902,5,18,"England","Kent","Faversham","Huntingfield",2.952,1.963,8.989,2.407,"Apidae","kleptoparasite","OUMNH",1.938,"Huntingfield, Faversham, Kent, England",51.25792226,0.822018012
"IGproject0076","Nomada","goodeniana","male",1909,5,9,"England","Oxfordshire","Oxford","Shotover",2.933,2.01,8.812,2.442,"Apidae","kleptoparasite","OUMNH",1.954,"Shotover, Oxford, Oxfordshire, England",51.7561128,-1.1551229
"IGproject0077","Nomada","goodeniana","female",1953,8,10,"England","Devon","Dawlish","",2.844,1.86,8.422,2.384,"Apidae","kleptoparasite","OUMNH",1.879,"Dawlish, Devon, England",50.5797391,-3.468931
"IGproject0078","Nomada","goodeniana","female",1910,6,8,"England","Devon","Budleigh Salterton","",3.196,2.103,9.852,2.829,"Apidae","kleptoparasite","OUMNH",2.114,"Budleigh Salterton, Devon, England",50.6310504,-3.3299844
"IGproject0079","Nomada","goodeniana","male",1900,4,21,"England","Surrey","Woking","",3.108,2.203,9.466,2.564,"Apidae","kleptoparasite","OUMNH",2.095,"Woking, Surrey, England",51.3201891,-0.5564726
"IGproject0080","Nomada","goodeniana","female",1941,6,2,"England","Hampshire","Burley","",3.167,2.167,9.681,2.769,"Apidae","kleptoparasite","OUMNH",2.034,"Burley, Hampshire, England",50.8266,-1.70164
"IGproject0081","Nomada","goodeniana","female",1900,6,3,"England","Oxfordshire","Oxford","Shotover",2.715,1.731,8.141,2.39,"Apidae","kleptoparasite","OUMNH",1.853,"Shotover, Oxford, Oxfordshire, England",51.7561128,-1.1551229
"IGproject0082","Nomada","goodeniana","female",1983,1,28,"England","Berkshire","Slough","Langley",2.705,1.74,8.177,2.325,"Apidae","kleptoparasite","OUMNH",1.85,"Langley, Slough, Berkshire, England",51.507818,-0.5409049
"IGproject0083","Nomada","goodeniana","female",1991,5,22,"England","Hampshire","Bramshaw","",2.716,1.763,8.231,2.365,"Apidae","kleptoparasite","OUMNH",1.763,"Bramshaw, Hampshire, England",50.9407584,-1.617454
"IGproject0084","Nomada","goodeniana","female",1917,5,3,"England","Surrey","Guildford","Merrow",2.925,1.973,8.945,2.55,"Apidae","kleptoparasite","OUMNH",1.97,"Merrow, Guildford, Surrey, England",51.2443481,-0.5335147
"IGproject0085","Nomada","goodeniana","female",1954,4,16,"England","Devon","Torquay","",3.161,2.145,9.751,2.706,"Apidae","kleptoparasite","OUMNH",2.187,"Torquay, Devon, England",50.4652392,-3.5211361
"IGproject0086","Nomada","goodeniana","female",1955,5,20,"England","Devon","Dawlish","",3.21,2.232,9.795,2.634,"Apidae","kleptoparasite","OUMNH",2.145,"Dawlish, Devon, England",50.5797391,-3.468931
"IGproject0087","Nomada","goodeniana","female",1977,6,12,"England","Oxfordshire","Hook Norton","",3.011,2.014,9.361,2.579,"Apidae","kleptoparasite","OUMNH",2.025,"Hook Norton, Oxfordshire, England",51.9939848,-1.4822644
"IGproject0088","Nomada","sp.","female",1916,5,21,"England","Devon","Newton Abbot","",2.461,1.63,8.159,2.287,"Apidae","kleptoparasite","OUMNH",1.54,"Newton Abbot, Devon, England",50.5296441,-3.6112097
"IGproject0089","Nomada","sp.","female",1916,5,22,"England","Devon","Bovey Tracey","",2.397,1.509,8.095,2.163,"Apidae","kleptoparasite","OUMNH",1.627,"Bovey Tracey, Devon, England",50.6046632,-3.6856762
"IGproject0090","Lasioglossum","fulvicorne","female",1998,5,21,"England","Devon","Salcombe","Coast Path",1.836,1.324,5.315,1.331,"Halictidae","excavator","OUMNH",1.15,"Coast Path, Salcombe, Devon, England",50.2375257,-3.769493274
"IGproject0091","Lasioglossum","fulvicorne","female",1991,6,9,"England","Cambridgeshire","Barnack","Barnack Hills and Holes",1.815,1.355,5.386,1.43,"Halictidae","excavator","OUMNH",1.143,"Barnack Hills and Holes, Barnack, Cambridgeshire, England",52.62910152,-0.412116287
"IGproject0092","Lasioglossum","fulvicorne","male",1998,7,28,"England","Gloucestershire","Wotton-under-Edge","Newark Park",1.79,1.396,5.295,1.221,"Halictidae","excavator","OUMNH",1.056,"Newark Park, Wotton-under-Edge, Gloucestershire, England",51.6363693,-2.3176907
"IGproject0093","Lasioglossum","fulvicorne","female",1956,6,26,"England","Dorset","Wimborne","",1.827,1.347,5.357,1.432,"Halictidae","excavator","OUMNH",1.126,"Wimborne, Dorset, England",50.7995189,-1.987339
"IGproject0094","Lasioglossum","fulvicorne","male",1902,8,4,"England","Kent","Faversham","Huntingfield",1.731,1.291,5.377,1.195,"Halictidae","excavator","OUMNH",1.066,"Huntingfield, Faversham, Kent, England",51.25792226,0.822018012
"IGproject0095","Lasioglossum","fulvicorne","male",1968,9,2,"England","Bedfordshire","Hitchin","",1.85,1.315,5.44,1.265,"Halictidae","excavator","OUMNH",1.141,"Hitchin, Bedfordshire, England",52.0085422,-0.3034
"IGproject0096","Lasioglossum","fulvicorne","female",1956,9,26,"England","Dorset","Wimborne","",1.77,1.305,5.037,1.28,"Halictidae","excavator","OUMNH",1.096,"Wimborne, Dorset, England",50.7995189,-1.987339
"IGproject0097","Lasioglossum","fulvicorne","male",1998,7,28,"England","Gloucestershire","Wotton-under-Edge","Newark Park",1.792,1.284,5.254,1.168,"Halictidae","excavator","OUMNH",1.051,"Newark Park, Wotton-under-Edge, Gloucestershire, England",51.6363693,-2.3176907
"IGproject0098","Lasioglossum","fulvicorne","male",1914,8,NA,"England","Gloucestershire","Wotton-under-Edge","",1.86,1.443,5.744,1.276,"Halictidae","excavator","OUMNH",1.149,"Wotton-under-Edge, Gloucestershire, England",51.6378241,-2.3547251
"IGproject0099","Lasioglossum","fulvicorne","male",1899,8,20,"England","Worcestershire","Malvern","",1.102,1.314,5.138,1.296,"Halictidae","excavator","OUMNH",1.81,"Malvern, Worcestershire, England",52.1159559,-2.3258985
"IGproject0100","Lasioglossum","fulvicorne","female",1977,9,13,"England","Oxfordshire","Hook Norton","",1.759,1.269,5.155,1.296,"Halictidae","excavator","OUMNH",1.088,"Hook Norton, Oxfordshire, England",51.9939848,-1.4822644
"IGproject0101","Lasioglossum","fulvicorne","male",1915,7,15,"England","Devon","Brixham","",1.787,1.305,5.33,1.241,"Halictidae","excavator","OUMNH",1.096,"Brixham, Devon, England",50.3952404,-3.514544
"IGproject0102","Lasioglossum","fulvicorne","male",1968,9,7,"England","Bedfordshire","Whipsnade","Bison Hill",1.727,1.222,5.031,1.178,"Halictidae","excavator","OUMNH",1.037,"Bison Hill, Whipsnade, Bedfordshire, England",51.854781,-0.5482012
"IGproject0103","Lasioglossum","fulvicorne","male",1902,6,8,"England","Kent","Faversham","Huntingfield",1.784,1.311,5.297,1.23,"Halictidae","excavator","OUMNH",1.094,"Huntingfield, Faversham, Kent, England",51.25792226,0.822018012
"IGproject0104","Lasioglossum","fulvicorne","female",1917,5,3,"England","Devon","Brixham","",1.925,1.469,5.977,1.472,"Halictidae","excavator","OUMNH",1.189,"Brixham, Devon, England",50.3952404,-3.514544
"IGproject0105","Lasioglossum","fulvicorne","male",1919,8,19,"England","Worcestershire","Malvern","",1.681,1.228,5.194,1.193,"Halictidae","excavator","OUMNH",1.057,"Malvern, Worcestershire, England",52.1159559,-2.3258985
"IGproject0106","Lasioglossum","fulvicorne","male",1919,8,19,"England","Worcestershire","Malvern","",1.815,1.296,5.372,1.133,"Halictidae","excavator","OUMNH",1.107,"Malvern, Worcestershire, England",52.1159559,-2.3258985
"IGproject0107","Lasioglossum","fulvicorne","female",2004,9,1,"England","Surrey","Seale","",1.818,1.263,5.396,1.359,"Halictidae","excavator","OUMNH",1.097,"Seale, Surrey, England",51.2223512,-0.7187413
"IGproject0108","Lasioglossum","fulvicorne","female",1974,5,7,"England","Oxfordshire","Oxford","Wytham",1.854,1.34,5.52,1.384,"Halictidae","excavator","OUMNH",1.134,"Wytham, Oxford, Oxfordshire, England",51.7535169,-1.2131856
"IGproject0109","Lasioglossum","fulvicorne","female",1974,5,7,"England","Oxfordshire","Oxford","Wytham",1.792,1.298,5.29,1.423,"Halictidae","excavator","OUMNH",1.079,"Wytham, Oxford, Oxfordshire, England",51.7535169,-1.2131856
"IGproject0110","Lasioglossum","fulvicorne","female",1949,4,17,"England","Oxfordshire","Cumnor","",1.757,1.252,5.331,1.372,"Halictidae","excavator","OUMNH",1.099,"Cumnor, Oxfordshire, England",51.7349255,-1.3331621
"IGproject0111","Lasioglossum","fulvicorne","male",1988,8,6,"England","Wiltshire","Wroughton","Clouts Wood",1.767,1.23,5.442,1.095,"Halictidae","excavator","OUMNH",1.057,"Clouts Wood, Wroughton, Wiltshire, England",51.51489206,-1.804044057
"IGproject0112","Lasioglossum","fulvicorne","male",1903,7,22,"England","Dorset","Lyme Regis","",1.665,1.179,4.918,1.264,"Halictidae","excavator","OUMNH",0.996,"Lyme Regis, Dorset, England",50.7252897,-2.934559
"IGproject0113","Lasioglossum","fulvicorne","female",1925,5,NA,"England","Sussex","Brighton","Devil's Dyke",1.733,1.269,5.315,1.416,"Halictidae","excavator","OUMNH",1.062,"Devil's Dyke, Brighton, Sussex, England",50.8849935,-0.2123306
"IGproject0114","Lasioglossum","fulvicorne","male",1905,7,10,"England","Kent","Faversham","",1.846,1.357,5.683,1.277,"Halictidae","excavator","OUMNH",1.114,"Faversham, Kent, England",51.3158434,0.8911283
"IGproject0115","Lasioglossum","fulvicorne","male",1968,9,2,"England","Bedfordshire","Hitchin","Pegsdon",1.77,1.301,5.621,1.263,"Halictidae","excavator","OUMNH",1.139,"Pegsdon, Hitchin, Bedfordshire, England",51.96253534,-0.36842034
"IGproject0116","Lasioglossum","fulvicorne","female",1956,9,26,"England","Dorset","Wimborne","",1.801,1.347,5.375,1.401,"Halictidae","excavator","OUMNH",1.117,"Wimborne, Dorset, England",50.7995189,-1.987339
"IGproject0117","Lasioglossum","fulvicorne","male",1904,8,NA,"England","Kent","Faversham","Huntingfield",1.774,1.282,5.147,1.223,"Halictidae","excavator","OUMNH",1.067,"Huntingfield, Faversham, Kent, England",51.25792226,0.822018012
