"label_no","genus","species","sex","year","month","day","country","county","city_town_village","specific_location","HW_mm","intertegular_distance_mm","FW_length_mm","tibia_length_mm","family","ecology","Source","interocular_distance_mm","location_string","latitude","longitude","full_name","mean_preflight_temp","sd_preflight_temp","max_preflight_monthly_mean","max_preflight_temp"
"IGproject0083","Nomada","goodeniana","female",1991,5,22,"England","Hampshire","Bramshaw","",2.716,1.763,8.231,2.365,"Apidae","kleptoparasite","OUMNH",1.763,"Bramshaw, Hampshire, England",50.9407584,-1.617454,"Nomada goodeniana",11.8513748548097,2.87797847605315,13.729872766017,19.4032077951848
"IGproject0084","Nomada","goodeniana","female",1917,5,3,"England","Surrey","Guildford","Merrow",2.925,1.973,8.945,2.55,"Apidae","kleptoparasite","OUMNH",1.97,"Merrow, Guildford, Surrey, England",51.2443481,-0.5335147,"Nomada goodeniana",10.8861728503237,2.00241851938988,12.3012583791799,17.8309641379801
"IGproject0085","Nomada","goodeniana","female",1954,4,16,"England","Devon","Torquay","",3.161,2.145,9.751,2.706,"Apidae","kleptoparasite","OUMNH",2.187,"Torquay, Devon, England",50.4652392,-3.5211361,"Nomada goodeniana",11.6580356135701,3.11017195185164,14.3729763575452,18.484349437936
"IGproject0086","Nomada","goodeniana","female",1955,5,20,"England","Devon","Dawlish","",3.21,2.232,9.795,2.634,"Apidae","kleptoparasite","OUMNH",2.145,"Dawlish, Devon, England",50.5797391,-3.468931,"Nomada goodeniana",10.7313196658828,2.78439787080302,13.3489756290435,16.9694921066324
"IGproject0087","Nomada","goodeniana","female",1977,6,12,"England","Oxfordshire","Hook Norton","",3.011,2.014,9.361,2.579,"Apidae","kleptoparasite","OUMNH",2.025,"Hook Norton, Oxfordshire, England",51.9939848,-1.4822644,"Nomada goodeniana",11.9047793225422,4.71275853344275,16.7958609423149,23.1969160207424
"IGproject0090","Lasioglossum","fulvicorne","female",1998,5,21,"England","Devon","Salcombe","Coast Path",1.836,1.324,5.315,1.331,"Halictidae","excavator","OUMNH",1.15,"Coast Path, Salcombe, Devon, England",50.2375257,-3.769493274,"Lasioglossum fulvicorne",13.4899445469068,3.37724204643071,17.7155521098683,21.1775937960372
"IGproject0091","Lasioglossum","fulvicorne","female",1991,6,9,"England","Cambridgeshire","Barnack","Barnack Hills and Holes",1.815,1.355,5.386,1.43,"Halictidae","excavator","OUMNH",1.143,"Barnack Hills and Holes, Barnack, Cambridgeshire, England",52.62910152,-0.412116287,"Lasioglossum fulvicorne",13.8592745018834,4.21297138714256,18.7445114725992,25.1413932597518
"IGproject0092","Lasioglossum","fulvicorne","male",1998,7,28,"England","Gloucestershire","Wotton-under-Edge","Newark Park",1.79,1.396,5.295,1.221,"Halictidae","excavator","OUMNH",1.056,"Newark Park, Wotton-under-Edge, Gloucestershire, England",51.6363693,-2.3176907,"Lasioglossum fulvicorne",14.1000259949549,3.93164165110487,18.898722840638,23.3589870171466
"IGproject0093","Lasioglossum","fulvicorne","female",1956,6,26,"England","Dorset","Wimborne","",1.827,1.347,5.357,1.432,"Halictidae","excavator","OUMNH",1.126,"Wimborne, Dorset, England",50.7995189,-1.987339,"Lasioglossum fulvicorne",13.6699629988943,4.26730893897284,17.9668336221488,23.5183474976572
"IGproject0094","Lasioglossum","fulvicorne","male",1902,8,4,"England","Kent","Faversham","Huntingfield",1.731,1.291,5.377,1.195,"Halictidae","excavator","OUMNH",1.066,"Huntingfield, Faversham, Kent, England",51.25792226,0.822018012,"Lasioglossum fulvicorne",13.5949744964548,3.84813669673188,17.4404786615628,23.0645475654834
"IGproject0095","Lasioglossum","fulvicorne","male",1968,9,2,"England","Bedfordshire","Hitchin","",1.85,1.315,5.44,1.265,"Halictidae","excavator","OUMNH",1.141,"Hitchin, Bedfordshire, England",52.0085422,-0.3034,"Lasioglossum fulvicorne",13.0801987057633,4.02995828861133,17.4210461767421,22.7219372558627
"IGproject0096","Lasioglossum","fulvicorne","female",1956,9,26,"England","Dorset","Wimborne","",1.77,1.305,5.037,1.28,"Halictidae","excavator","OUMNH",1.096,"Wimborne, Dorset, England",50.7995189,-1.987339,"Lasioglossum fulvicorne",13.6699629988943,4.26730893897284,17.9668336221488,23.5183474976572
"IGproject0097","Lasioglossum","fulvicorne","male",1998,7,28,"England","Gloucestershire","Wotton-under-Edge","Newark Park",1.792,1.284,5.254,1.168,"Halictidae","excavator","OUMNH",1.051,"Newark Park, Wotton-under-Edge, Gloucestershire, England",51.6363693,-2.3176907,"Lasioglossum fulvicorne",14.1000259949549,3.93164165110487,18.898722840638,23.3589870171466
