"label_no","genus","species","sex","year","month","day","country","county","city_town_village","specific_location","HW_mm","intertegular_distance_mm","FW_length_mm","tibia_length_mm","family","ecology","Source","interocular_distance_mm","location_string","latitude","longitude","full_name","mean_preflight_temp","sd_preflight_temp","max_preflight_monthly_mean","max_preflight_temp"
"IGproject0051","Hylaeus","communis","male",1980,6,24,"England","Devon","Milton Combe","",1.567,1.244,4.406,0.988,"Colletidae","cavity nester","OUMNH",1.02,"Milton Combe, Devon, England",50.4745875,-4.131055,"Hylaeus communis",14.4142675660184,1.37283357722494,15.799572957464,20.2334614121708
"IGproject0052","Hylaeus","communis","female",1902,9,6,"England","Kent","Faversham","Huntingfield",1.499,1.138,4.476,0.941,"Colletidae","cavity nester","OUMNH",0.996,"Huntingfield, Faversham, Kent, England",51.25792226,0.822018012,"Hylaeus communis",15.8240599479737,1.7220069136953,17.1379331428239,22.8189475840829
"IGproject0053","Hylaeus","communis","male",1902,8,12,"England","Kent","Faversham","Huntingfield",1.592,1.144,4.608,0.986,"Colletidae","cavity nester","OUMNH",1.011,"Huntingfield, Faversham, Kent, England",51.25792226,0.822018012,"Hylaeus communis",15.8240599479737,1.7220069136953,17.1379331428239,22.8189475840829
"IGproject0054","Hylaeus","communis","female",1968,7,18,"England","Hertfordshire","Harpenden","Hatching Green",1.657,1.248,4.919,0.993,"Colletidae","cavity nester","OUMNH",1.085,"Hatching Green, Harpenden, Hertfordshire, England",51.8034314,-0.3580286,"Hylaeus communis",15.5613508937691,1.71058033130516,17.1485461371553,22.2908443716896
"IGproject0055","Hylaeus","communis","male",2005,7,19,"England","Surrey","Richmond","Ham House",1.49,1.154,4.241,0.92,"Colletidae","cavity nester","OUMNH",0.95,"Ham House, Richmond, Surrey, England",51.44419259,-0.313872304,"Hylaeus communis",17.9977255067218,1.1445186537436,19.2467625920887,23.577272962247
"IGproject0056","Hylaeus","communis","male",1949,6,7,"England","Devon","Axminster","",1.538,1.126,4.444,0.963,"Colletidae","cavity nester","OUMNH",0.981,"Axminster, Devon, England",50.7820966,-2.9979915,"Hylaeus communis",15.127319701583,0.61449847952371,15.7070895317493,20.3873179998885
"IGproject0057","Hylaeus","communis","female",1897,7,11,"England","Berkshire","Reading","Sulhamstead Park",1.737,1.309,5.222,1.008,"Colletidae","cavity nester","OUMNH",1.112,"Sulhamstead Park, Reading, Berkshire, England",51.41681285,-1.09530783,"Hylaeus communis",15.9192568601135,1.16881616169687,16.9424804102253,22.9920984022132
"IGproject0058","Nomada","goodeniana","female",1990,7,18,"England","Devon","Salcombe Regis","",3.032,2.048,9.062,2.414,"Apidae","kleptoparasite","OUMNH",1.997,"Salcombe Regis, Devon, England",50.6935703,-3.2066743,"Nomada goodeniana",11.2974787003801,4.30360589885976,14.2276740918393,18.7257825154142
"IGproject0059","Nomada","goodeniana","female",1903,5,18,"Wales","Gwynedd","Criccieth","",3.222,2.284,9.782,2.835,"Apidae","kleptoparasite","OUMNH",2.103,"Criccieth, Gwynedd, Wales",52.9206106,-4.2332414,"Nomada goodeniana",9.98557661280993,3.14144866610944,13.5300840837002,17.4094594591829
"IGproject0060","Nomada","goodeniana","male",1916,4,22,"England","Oxfordshire","Tubney","",2.843,1.916,8.883,2.403,"Apidae","kleptoparasite","OUMNH",1.905,"Tubney, Oxfordshire, England",51.6852443,-1.3699399,"Nomada goodeniana",11.3532644490207,3.50606182645003,14.7846569061538,20.8177791029578
"IGproject0061","Nomada","goodeniana","male",1896,NA,NA,"England","Kent","Doddington","",3.029,1.985,9.415,2.566,"Apidae","kleptoparasite","OUMNH",2.055,"Doddington, Kent, England",51.2792113,0.7717749,"Nomada goodeniana",10.8508969808203,3.22671905679309,14.0235865397817,19.3439669781123
"IGproject0062","Nomada","goodeniana","male",1917,5,3,"England","Devon","Brixham","",2.314,1.534,7.09,1.983,"Apidae","kleptoparasite","OUMNH",1.635,"Brixham, Devon, England",50.3952404,-3.514544,"Nomada goodeniana",10.7868739819161,1.73200490530103,11.8813237287629,15.2526477750335
