label_no,genus,species,sex,year,month,day,country,county,city_town_village,specific_location,HW_mm,intertegular_distance_mm,FW_length_mm,tibia_length_mm,family,ecology,interocular_distance_mm
IGproject0115,Lasioglossum,fulvicorne,male,1968,9,2,England,Bedfordshire,Hitchin,Pegsdon,1.77,1.301,5.621,1.263,Halictidae,excavator,1.139
IGproject0116,Lasioglossum,fulvicorne,female,1956,9,26,England,Dorset,Wimborne,,1.801,1.347,5.375,1.401,Halictidae,excavator,1.117
IGproject0117,Lasioglossum,fulvicorne,male,1904,8,,England,Kent,Faversham,Huntingfield,1.774,1.282,5.147,1.223,Halictidae,excavator,1.067
IGproject0118,Lasioglossum,fulvicorne,male,1905,9,3,England,Kent,Charing,,1.783,1.276,5.555,1.242,Halictidae,excavator,1.073
IGproject0119,Lasioglossum,fulvicorne,female,1914,8,18,England,Surrey,Gomshall,,1.814,1.305,5.416,1.505,Halictidae,excavator,1.108
IGproject0120,Lasioglossum,fulvicorne,female,1905,9,14,England,Kent,Faversham,Huntingfield,1.967,1.366,5.646,1.514,Halictidae,excavator,1.268
IGproject0121,Lasioglossum,fulvicorne,female,1905,9,10,England,Kent,Faversham,Huntingfield,1.909,1.286,5.475,1.356,Halictidae,excavator,1.267
IGproject0122,Lasioglossum,fulvicorne,female,1948,8,15,England,Oxfordshire,Oxford,Hinksey,1.857,1.384,5.493,1.437,Halictidae,excavator,1.175
IGproject0123,Lasioglossum,fulvicorne,male,1905,9,14,England,Kent,Faversham,Huntingfield,1.912,1.42,6.007,1.295,Halictidae,excavator,1.186
IGproject0124,Lasioglossum,fulvicorne,male,1915,7,15,England,Devon,Brixham,,1.811,1.309,5.357,1.258,Halictidae,excavator,1.111
IGproject0125,Nomada,ruficornis,male,1904,5,18,England,Greater London,London,Hampstead,2.075,1.294,6.697,1.795,Apidae,kleptoparasite,1.367
IGproject0126,Nomada,ruficornis,female,1915,5,7,England,Surrey,Cobham,,2.761,1.909,9.264,2.617,Apidae,kleptoparasite,1.722
IGproject0127,Nomada,ruficornis,female,1915,4,20,England,Devon,Dartmoor,East Dartmoor,2.838,1.949,8.544,2.479,Apidae,kleptoparasite,1.819
IGproject0128,Nomada,ruficornis,male,1992,4,25,England,Devon,,,2.615,1.899,8.209,1.936,Apidae,kleptoparasite,1.745
IGproject0129,Nomada,ruficornis,female,1927,5,1,England,Cheshire,Wilmslow,Bollin Valley,2.353,1.59,7.263,2.013,Apidae,kleptoparasite,1.527
IGproject0130,Nomada,ruficornis,female,1917,5,13,England,Surrey,Cobham,,2.712,1.773,8.264,2.208,Apidae,kleptoparasite,1.739
IGproject0131,Nomada,ruficornis,male,1953,4,24,England,Devon,Newton Abbot,Teigngrace,2.685,1.869,8.35,2.278,Apidae,kleptoparasite,1.801
IGproject0132,Nomada,ruficornis,male,1904,5,18,England,Greater London,London,Hampstead,2.297,1.45,7.115,1.823,Apidae,kleptoparasite,1.496
IGproject0133,Nomada,ruficornis,female,1953,4,24,England,Devon,Newton Abbot,Teigngrace,2.767,1.835,8.638,2.263,Apidae,kleptoparasite,1.742
IGproject0134,Nomada,ruficornis,male,1904,5,18,England,Greater London,London,Hampstead,2.56,1.817,8.269,2.079,Apidae,kleptoparasite,1.681
IGproject0135,Nomada,ruficornis,male,1901,5,19,England,Gloucestershire,Horsley,,2.816,1.898,9.399,2.743,Apidae,kleptoparasite,1.727
IGproject0136,Nomada,ruficornis,female,1902,5,24,England,Hampshire,,New Forest,2.771,1.9,8.399,2.295,Apidae,kleptoparasite,1.731
IGproject0137,Nomada,ruficornis,male,1929,4,27,England,Dorset,Wimborne,Badbury Rings,2.186,1.533,6.937,1.807,Apidae,kleptoparasite,1.484
IGproject0138,Nomada,ruficornis,male,1936,5,27,England,Berkshire,Windsor,,1.942,1.182,6.203,1.624,Apidae,kleptoparasite,1.252
IGproject0139,Nomada,ruficornis,male,1933,5,,England,Oxfordshire,Tubney,,2.108,1.368,6.666,1.742,Apidae,kleptoparasite,1.33
IGproject0140,Nomada,ruficornis,male,1904,5,15,England,Greater London,Northwood,,1.811,1.065,5.844,1.579,Apidae,kleptoparasite,1.224
IGproject0141,Nomada,ruficornis,female,1901,7,14,Wales,Gwynedd,Criccieth,,2.832,1.883,8.31,2.469,Apidae,kleptoparasite,1.807
