label_no,genus,species,sex,year,month,day,country,county,city_town_village,specific_location,HW_mm,intertegular_distance_mm,FW_length_mm,tibia_length_mm,family,ecology,Source,interocular_distance_mm
IGproject0814,Colletes,succintus,female,1927,8,15,England,Dorset,Warmwell,Warmwell Heath,3.197,2.517,8.089,2.178,Colletidae,excavator,OUMNH,
IGproject0815,Colletes,succintus,male,1928,8,30,England,Cornwall,Lizard,Goonhilly Downs,3,2.256,7.199,1.86,Colletidae,excavator,OUMNH,
IGproject0816,Anthidium,manicatum,male,1983,7,6,England,Cornwall,Goonvrea,,4.543,3.888,11.622,3.789,Megachilidae,cavity nester,BENHS,
IGproject0817,Anthidium,manicatum,female,1914,6,28,England,Kent,Gravesend,,4.215,3.6,9.373,2.689,Megachilidae,cavity nester,BENHS,
IGproject0818,Anthidium,manicatum,male,1891,7,,England,Hampshire,Andover,,4.496,3.968,11.807,3.721,Megachilidae,cavity nester,BENHS,
IGproject0819,Anthidium,manicatum,male,1891,7,,England,Hampshire,Andover,,4.464,3.787,11.257,3.441,Megachilidae,cavity nester,BENHS,
IGproject0820,Anthidium,manicatum,male,1891,7,,England,Hampshire,Andover,,4.694,3.887,11.758,3.787,Megachilidae,cavity nester,BENHS,
IGproject0821,Anthidium,manicatum,male,1912,7,14,England,Kent,,Pegwell Bay,3.997,3.273,9.588,3.055,Megachilidae,cavity nester,BENHS,
IGproject0822,Anthidium,manicatum,male,1914,7,12,England,Kent,Chalk,,4.166,3.529,10.024,3.306,Megachilidae,cavity nester,BENHS,
IGproject0823,Anthidium,manicatum,female,1915,7,29,England,Kent,Chatham,,4.026,3.303,8.634,2.773,Megachilidae,cavity nester,BENHS,
IGproject0824,Anthidium,manicatum,female,1918,6,27,England,Kent,Gravesend,,4.069,3.474,8.723,2.714,Megachilidae,cavity nester,BENHS,
IGproject0825,Anthidium,manicatum,female,1891,7,,England,Hampshire,Andover,,4.229,3.55,9.497,3.036,Megachilidae,cavity nester,BENHS,
IGproject0826,Anthidium,manicatum,male,1931,6,21,England,Greater London,London,Wood Green,4.37,3.75,10.64,3.299,Megachilidae,cavity nester,BENHS,
IGproject0827,Anthidium,manicatum,male,1906,7,26,England,Surrey,Redhill,,4.636,3.992,11.75,3.966,Megachilidae,cavity nester,BENHS,
IGproject0828,Anthidium,manicatum,male,1918,7,7,England,Kent,Higham,,4.439,3.737,10.933,3.537,Megachilidae,cavity nester,BENHS,
IGproject0829,Anthidium,manicatum,male,1912,7,21,England,Kent,Gravesend,,4.319,3.748,10.358,3.432,Megachilidae,cavity nester,BENHS,
IGproject0830,Anthidium,manicatum,male,1914,6,28,England,Kent,Gravesend,,4.419,3.715,10.531,3.487,Megachilidae,cavity nester,BENHS,
IGproject0831,Andrena,wilkella,male,1920,5,30,England,Kent,Meopham,,3.012,1.953,7.276,2.192,Andrenidae,excavator,BENHS,
IGproject0832,Andrena,wilkella,male,1920,5,24,England,Kent,Meopham,,2.849,1.773,7.037,2.084,Andrenidae,excavator,BENHS,
IGproject0833,Andrena,wilkella,male,1911,6,4,England,Kent,Cobham,,3.038,1.944,7.395,2.2,Andrenidae,excavator,BENHS,
IGproject0834,Andrena,wilkella,male,1979,6,14,England,Hampshire,,Old Winchester Hill,2.793,1.627,7.037,1.99,Andrenidae,excavator,BENHS,
IGproject0835,Andrena,wilkella,male,1979,6,26,England,West Yorkshire,,Newmillerdam Country Park,2.979,1.874,7.539,2.067,Andrenidae,excavator,BENHS,
IGproject0836,Andrena,wilkella,male,1911,6,4,England,Kent,Cobham,,3.036,1.873,7.368,2.275,Andrenidae,excavator,BENHS,
IGproject0837,Andrena,wilkella,female,1938,5,10,England,Shropshire,,,3.174,2.066,7.62,2.4,Andrenidae,excavator,BENHS,
IGproject0838,Andrena,wilkella,male,1974,6,9,England,Berkshire,Windsor,,2.866,1.791,7.393,2.08,Andrenidae,excavator,BENHS,
IGproject0839,Andrena,wilkella,female,1918,6,2,England,Kent,Wrotham,,3.468,2.285,8.035,2.66,Andrenidae,excavator,BENHS,
IGproject0840,Andrena,wilkella,female,1918,5,19,England,Kent,Dartford,,3.518,2.279,8.173,2.701,Andrenidae,excavator,BENHS,
IGproject0841,Colletes,succintus,male,1974,7,30,England,Hampshire,,Woolme Forest,2.968,2.14,6.96,1.805,Colletidae,excavator,BENHS,
IGproject0842,Colletes,succintus,female,1999,8,30,England,Bristol,Bristol,Troopers Hill,3.376,2.789,8.566,2.267,Colletidae,excavator,BENHS,
IGproject0843,Colletes,succintus,female,1971,8,29,England,Surrey,Wisley,Wisley Common,3.222,2.718,8.192,2.102,Colletidae,excavator,BENHS,
IGproject0844,Colletes,succintus,female,1998,8,15,England,Surrey,Chobham,Chobham Common,3.226,2.573,7.943,2.139,Colletidae,excavator,BENHS,
IGproject0845,Anthidium,manicatum,male,1976,,,England,Oxfordshire,Oxford,30 Cope Close,4.029,3.416,9.722,3.099,Megachilidae,cavity nester,OUMNH,
IGproject0846,Anthidium,manicatum,male,1976,,,England,Oxfordshire,Oxford,30 Cope Close,3.832,3.36,8.892,2.784,Megachilidae,cavity nester,OUMNH,
IGproject0847,Anthidium,manicatum,male,1976,,,England,Oxfordshire,Oxford,30 Cope Close,3.934,3.422,9.344,2.952,Megachilidae,cavity nester,OUMNH,
IGproject0848,Anthidium,manicatum,male,1977,,,England,Oxfordshire,Oxford,30 Cope Close,3.984,3.269,9.057,2.905,Megachilidae,cavity nester,OUMNH,
IGproject0849,Anthidium,manicatum,male,1976,,,England,Oxfordshire,Oxford,30 Cope Close,4.06,3.464,9.684,3.035,Megachilidae,cavity nester,OUMNH,
IGproject0850,Anthidium,manicatum,male,1976,,,England,Oxfordshire,Oxford,30 Cope Close,4.286,3.685,10.926,3.532,Megachilidae,cavity nester,OUMNH,
IGproject0851,Anthidium,manicatum,male,1976,,,England,Oxfordshire,Oxford,30 Cope Close,4.205,3.642,10.616,3.234,Megachilidae,cavity nester,OUMNH,
IGproject0852,Anthidium,manicatum,male,1977,,,England,Oxfordshire,Oxford,30 Cope Close,4.187,3.628,10.606,3.338,Megachilidae,cavity nester,OUMNH,
IGproject0853,Anthidium,manicatum,male,1976,,,England,Oxfordshire,Oxford,30 Cope Close,4.43,3.838,11.153,3.685,Megachilidae,cavity nester,OUMNH,
IGproject0854,Anthidium,manicatum,male,1976,,,England,Oxfordshire,Oxford,30 Cope Close,4.357,3.713,10.757,3.407,Megachilidae,cavity nester,OUMNH,
IGproject0855,Anthidium,manicatum,female,1976,,,England,Oxfordshire,Oxford,30 Cope Close,4.276,3.709,9.905,3.108,Megachilidae,cavity nester,OUMNH,
IGproject0856,Anthidium,manicatum,female,1976,,,England,Oxfordshire,Oxford,30 Cope Close,3.864,3.214,8.515,2.532,Megachilidae,cavity nester,OUMNH,
IGproject0857,Anthidium,manicatum,female,1976,,,England,Oxfordshire,Oxford,30 Cope Close,4.136,3.616,9.635,2.842,Megachilidae,cavity nester,OUMNH,
IGproject0858,Anthidium,manicatum,female,1976,,,England,Oxfordshire,Oxford,30 Cope Close,3.865,3.252,8.609,2.605,Megachilidae,cavity nester,OUMNH,
IGproject0859,Anthidium,manicatum,female,1976,,,England,Oxfordshire,Oxford,30 Cope Close,3.997,3.331,9.136,2.648,Megachilidae,cavity nester,OUMNH,
IGproject0860,Anthidium,manicatum,female,1977,,,England,Oxfordshire,Oxford,30 Cope Close,4.298,3.647,9.877,2.919,Megachilidae,cavity nester,OUMNH,
IGproject0861,Anthidium,manicatum,female,1977,,,England,Oxfordshire,Oxford,30 Cope Close,4.056,3.421,9.188,2.886,Megachilidae,cavity nester,OUMNH,
IGproject0862,Anthidium,manicatum,female,1977,,,England,Oxfordshire,Oxford,30 Cope Close,4.037,3.385,8.857,2.872,Megachilidae,cavity nester,OUMNH,
IGproject0863,Anthidium,manicatum,female,1977,,,England,Oxfordshire,Oxford,30 Cope Close,3.981,3.573,9.172,2.869,Megachilidae,cavity nester,OUMNH,
IGproject0864,Anthidium,manicatum,female,1977,,,England,Oxfordshire,Oxford,30 Cope Close,4.07,3.475,9.398,2.776,Megachilidae,cavity nester,OUMNH,
IGproject0865,Anthidium,manicatum,female,1977,,,England,Oxfordshire,Oxford,30 Cope Close,4.052,3.496,9.28,2.808,Megachilidae,cavity nester,OUMNH,
IGproject0866,Anthidium,manicatum,female,1977,,,England,Oxfordshire,Oxford,30 Cope Close,4.043,3.331,8.922,2.966,Megachilidae,cavity nester,OUMNH,
IGproject0867,Nomada,goodeniana,male,1977,5,22,England,Herefordshire,Hereford,Cusop Dingle,3.195,2.366,9.89,2.749,Apidae,kleptoparasite,BENHS,
IGproject0868,Nomada,goodeniana,male,1991,4,27,England,Kent,Whitstable,,2.514,1.57,8.025,2.227,Apidae,kleptoparasite,BENHS,
IGproject0869,Nomada,goodeniana,female,1978,6,1,England,Devon,Plymouth,,2.948,1.869,8.932,2.633,Apidae,kleptoparasite,BENHS,
IGproject0870,Nomada,goodeniana,female,1978,6,3,England,Devon,Bigbury,,3.098,2.115,9.766,2.851,Apidae,kleptoparasite,BENHS,
IGproject0871,Nomada,goodeniana,male,1999,4,19,England,Bristol,Bristol,Troopers Hill,2.78,1.742,8.634,2.435,Apidae,kleptoparasite,BENHS,
IGproject0872,Nomada,goodeniana,female,1978,5,28,England,Devon,Newton Abbot,Yarner Wood,3.065,1.983,9.13,2.675,Apidae,kleptoparasite,BENHS,
IGproject0873,Nomada,goodeniana,female,1999,4,22,England,Devon,Branscombe,,3.164,2.16,9.874,2.872,Apidae,kleptoparasite,BENHS,
IGproject0874,Andrena,chrysosceles,male,1986,4,16,England,Buckinghamshire,,Bovney Lock,2.302,1.323,5.923,1.522,Andrenidae,excavator,BENHS,
IGproject0875,Andrena,chrysosceles,female,1979,7,7,England,Hampshire,,Oidham Common,2.961,1.77,8.133,2.351,Andrenidae,excavator,BENHS,
IGproject0876,Andrena,chrysosceles,female,1979,5,27,England,Hampshire,Leckford,,3.056,2.017,8.323,2.298,Andrenidae,excavator,BENHS,
IGproject0877,Andrena,chrysosceles,female,1985,7,6,England,Somerset,,Withial Combe,2.821,1.763,7.762,2.207,Andrenidae,excavator,BENHS,
IGproject0878,Andrena,chrysosceles,female,1970,6,13,England,Oxfordshire,,Bald Hill,2.894,1.795,7.848,2.199,Andrenidae,excavator,BENHS,
IGproject0879,Andrena,chrysosceles,female,1985,6,30,England,Somerset,Rodney Stoke,,2.799,1.679,7.758,2.237,Andrenidae,excavator,BENHS,
IGproject0880,Andrena,chrysosceles,female,1985,7,2,England,Somerset,,Postlebury Wood,2.826,1.756,7.891,2.118,Andrenidae,excavator,BENHS,
IGproject0881,Andrena,chrysosceles,female,1985,6,30,England,Somerset,Rodney Stoke,,2.235,1.283,6.161,1.738,Andrenidae,excavator,BENHS,
IGproject0882,Andrena,chrysosceles,female,1985,6,30,England,Somerset,Rodney Stoke,,2.714,1.598,7.359,2.128,Andrenidae,excavator,BENHS,
IGproject0883,Andrena,chrysosceles,female,1927,5,14,England,Dorset,,Yellowham Wood,2.78,1.75,7.71,2.221,Andrenidae,excavator,BENHS,
IGproject0884,Andrena,chrysosceles,male,1927,6,3,England,Dorset,,Powerstock Common,2.318,1.435,6.402,1.654,Andrenidae,excavator,BENHS,
IGproject0885,Andrena,chrysosceles,female,1938,4,30,England,Greater London,London,Mill Hill,2.541,1.538,6.982,1.946,Andrenidae,excavator,BENHS,
IGproject0886,Andrena,chrysosceles,male,1938,4,30,England,Greater London,London,Mill Hill,2.231,1.249,6.067,1.584,Andrenidae,excavator,BENHS,
IGproject0887,Andrena,chrysosceles,male,1936,4,26,England,Greater London,London,Mill Hill,2.519,1.342,6.779,1.762,Andrenidae,excavator,BENHS,
IGproject0888,Andrena,chrysosceles,female,1927,5,14,England,Dorset,,Yellowham Wood,2.993,1.869,8.317,2.388,Andrenidae,excavator,BENHS,
IGproject0889,Megachile,centuncularis,male,1918,6,28,England,Kent,Gravesend,,3.367,2.464,7.522,2.177,Megachilidae,cavity nester,BENHS,
IGproject0890,Megachile,centuncularis,male,1914,7,19,England,Kent,Darenth,,3.505,2.778,7.463,2.247,Megachilidae,cavity nester,BENHS,
IGproject0891,Megachile,centuncularis,male,1918,6,21,England,Kent,Gravesend,,3.441,2.514,7.34,2.035,Megachilidae,cavity nester,BENHS,
IGproject0892,Megachile,centuncularis,male,1983,8,6,England,Buckinghamshire,,,3.463,2.578,7.3,2.054,Megachilidae,cavity nester,BENHS,
IGproject0893,Megachile,centuncularis,male,1918,6,28,England,Kent,Gravesend,,3.424,2.673,7.601,2.158,Megachilidae,cavity nester,BENHS,
IGproject0894,Megachile,centuncularis,female,1932,8,4,England,Norfolk,King's Lynn,,3.798,3.206,8.857,2.358,Megachilidae,cavity nester,BENHS,
IGproject0895,Megachile,centuncularis,female,1923,7,18,England,Dorset,,Yellowham Wood,3.658,3.041,8.343,2.288,Megachilidae,cavity nester,BENHS,
IGproject0896,Megachile,centuncularis,female,1915,7,29,England,Kent,Chatham,,3.592,3.057,8.048,2.225,Megachilidae,cavity nester,BENHS,
IGproject0897,Megachile,centuncularis,female,1918,6,23,England,Kent,Gravesend,,3.703,3.123,8.251,2.365,Megachilidae,cavity nester,BENHS,
IGproject0898,Megachile,centuncularis,female,1918,6,23,England,Kent,Gravesend,,3.65,3.006,8.081,2.371,Megachilidae,cavity nester,BENHS,
IGproject0899,Megachile,centuncularis,female,1982,7,10,England,Buckinghamshire,Burnham,,3.552,3.084,8.227,2.27,Megachilidae,cavity nester,BENHS,
IGproject0900,Lasioglossum,fulvicorne,male,1964,9,2,England,Greater London,Keston,,1.659,1.18,5.019,1.202,Halictidae,excavator,BENHS,
IGproject0901,Lasioglossum,fulvicorne,male,1969,8,24,England,Oxfordshire,Moulsford,,1.873,1.373,5.582,1.344,Halictidae,excavator,BENHS,
IGproject0902,Lasioglossum,fulvicorne,male,1968,10,6,England,Surrey,,White Down,1.709,1.198,5.054,1.258,Halictidae,excavator,BENHS,
IGproject0903,Lasioglossum,fulvicorne,female,1971,5,9,England,Berkshire,Windsor,,1.815,1.276,5.437,1.433,Halictidae,excavator,BENHS,
IGproject0904,Lasioglossum,fulvicorne,female,1974,8,17,England,Hampshire,Leckford,,1.765,1.307,5.323,1.454,Halictidae,excavator,BENHS,
IGproject0905,Lasioglossum,fulvicorne,female,1921,6,8,England,Kent,Fawkham,,1.839,1.306,5.403,1.422,Halictidae,excavator,BENHS,
IGproject0906,Lasioglossum,fulvicorne,female,1914,5,31,England,Kent,Halling,,1.812,1.34,5.398,1.454,Halictidae,excavator,BENHS,
IGproject0907,Lasioglossum,fulvicorne,female,1911,7,30,England,Kent,Gravesend,,1.762,1.271,5.027,1.345,Halictidae,excavator,BENHS,
IGproject0908,Lasioglossum,fulvicorne,male,1904,8,27,England,Berkshire,Newbury,,1.72,1.201,4.931,1.197,Halictidae,excavator,BENHS,
IGproject0909,Lasioglossum,fulvicorne,female,1968,10,6,England,Surrey,,White Down,1.775,1.273,5.243,1.341,Halictidae,excavator,BENHS,
IGproject0910,Hylaeus,hyalinatus,male,1983,7,8,England,Cornwall,,Tregardock Beach,1.583,1.127,4.068,0.984,Colletidae,cavity nester,BENHS,
IGproject0911,Hylaeus,hyalinatus,male,1983,7,9,England,Cornwall,Lizard,,1.729,1.423,4.389,1.086,Colletidae,cavity nester,BENHS,
IGproject0912,Hylaeus,hyalinatus,male,1982,7,10,England,Buckinghamshire,Burnham,,1.616,1.227,4.246,1.058,Colletidae,cavity nester,BENHS,
IGproject0913,Hylaeus,hyalinatus,female,1970,6,28,England,Surrey,Milford,,1.644,1.292,4.478,1.12,Colletidae,cavity nester,BENHS,
IGproject0914,Hylaeus,hyalinatus,female,1918,6,21,England,Kent,Gravesend,,1.733,1.321,4.55,1.122,Colletidae,cavity nester,BENHS,
IGproject0915,Hylaeus,hyalinatus,female,1982,5,31,England,Buckinghamshire,Burnham,,1.67,1.246,4.517,1.089,Colletidae,cavity nester,BENHS,
IGproject0916,Hylaeus,hyalinatus,female,1983,8,6,England,Buckinghamshire,Burnham,,1.54,1.195,4.304,0.986,Colletidae,cavity nester,BENHS,
IGproject0917,Hylaeus,hyalinatus,female,1937,7,11,England,Dorset,Dorchester,,1.64,1.265,4.487,1.098,Colletidae,cavity nester,BENHS,
IGproject0918,Hylaeus,hyalinatus,female,1982,6,23,England,Buckinghamshire,Burnham,,1.712,1.347,4.59,1.1,Colletidae,cavity nester,BENHS,
IGproject0919,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.246,2.495,7.719,2.06,Colletidae,excavator,OUMNH,
IGproject0920,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.11,2.221,7.473,1.999,Colletidae,excavator,OUMNH,
IGproject0921,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.027,2.268,7.259,1.878,Colletidae,excavator,OUMNH,
IGproject0922,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.059,2.328,7.414,1.921,Colletidae,excavator,OUMNH,
IGproject0923,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.153,2.352,7.23,1.921,Colletidae,excavator,OUMNH,
IGproject0924,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.171,2.41,7.602,1.964,Colletidae,excavator,OUMNH,
IGproject0925,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,2.981,2.371,6.781,1.865,Colletidae,excavator,OUMNH,
IGproject0926,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.108,2.392,7.342,1.965,Colletidae,excavator,OUMNH,
IGproject0927,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.143,2.403,7.672,1.948,Colletidae,excavator,OUMNH,
IGproject0928,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.171,2.533,7.658,2.053,Colletidae,excavator,OUMNH,
IGproject0929,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.031,2.477,7.108,1.902,Colletidae,excavator,OUMNH,
IGproject0930,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.144,2.436,7.411,1.984,Colletidae,excavator,OUMNH,
IGproject0931,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.125,2.369,7.528,1.896,Colletidae,excavator,OUMNH,
IGproject0932,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.131,2.465,7.803,1.967,Colletidae,excavator,OUMNH,
IGproject0933,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.181,2.51,7.633,1.982,Colletidae,excavator,OUMNH,
IGproject0934,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.191,2.441,7.695,1.971,Colletidae,excavator,OUMNH,
IGproject0935,Colletes,succintus,female,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.101,2.406,7.903,2.081,Colletidae,excavator,OUMNH,
IGproject0936,Colletes,succintus,female,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.624,2.868,8.784,2.469,Colletidae,excavator,OUMNH,
IGproject0937,Colletes,succintus,female,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.367,2.657,8.479,2.343,Colletidae,excavator,OUMNH,
IGproject0938,Colletes,succintus,female,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.496,2.853,8.467,2.388,Colletidae,excavator,OUMNH,
IGproject0939,Colletes,succintus,female,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.458,2.79,8.855,2.343,Colletidae,excavator,OUMNH,
IGproject0940,Colletes,succintus,female,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.333,2.595,8.268,2.192,Colletidae,excavator,OUMNH,
IGproject0941,Colletes,succintus,female,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.331,2.613,8.62,2.191,Colletidae,excavator,OUMNH,
IGproject0942,Colletes,succintus,female,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.534,2.9,8.709,2.48,Colletidae,excavator,OUMNH,
IGproject0943,Colletes,succintus,female,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.374,2.82,8.572,2.286,Colletidae,excavator,OUMNH,
IGproject0944,Colletes,succintus,female,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.26,2.485,7.715,2.162,Colletidae,excavator,OUMNH,
IGproject0945,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,2.991,2.369,6.932,1.771,Colletidae,excavator,OUMNH,
IGproject0946,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.284,2.603,7.826,2.061,Colletidae,excavator,OUMNH,
IGproject0947,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.163,2.38,7.247,1.954,Colletidae,excavator,OUMNH,
IGproject0948,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.339,2.428,7.372,2.077,Colletidae,excavator,OUMNH,
IGproject0949,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.239,2.561,7.625,1.953,Colletidae,excavator,OUMNH,
IGproject0950,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.168,2.481,7.575,2.009,Colletidae,excavator,OUMNH,
IGproject0951,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.135,2.362,7.242,2.032,Colletidae,excavator,OUMNH,
IGproject0952,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.132,2.355,7.257,2.029,Colletidae,excavator,OUMNH,
IGproject0953,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.182,2.405,7.385,1.93,Colletidae,excavator,OUMNH,
IGproject0954,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.209,2.583,7.721,2.035,Colletidae,excavator,OUMNH,
IGproject0955,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.136,2.406,7.556,2.036,Colletidae,excavator,OUMNH,
IGproject0956,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.185,2.407,7.32,2.039,Colletidae,excavator,OUMNH,
IGproject0957,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.261,2.577,7.611,2.152,Colletidae,excavator,OUMNH,
IGproject0958,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.022,2.304,7.091,1.928,Colletidae,excavator,OUMNH,
IGproject0959,Colletes,succintus,male,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.223,2.516,7.33,2.036,Colletidae,excavator,OUMNH,
IGproject0960,Colletes,succintus,female,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.071,2.297,6.912,1.946,Colletidae,excavator,OUMNH,
IGproject0961,Colletes,succintus,female,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.42,2.829,8.693,2.303,Colletidae,excavator,OUMNH,
IGproject0962,Colletes,succintus,female,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.53,2.994,8.491,2.435,Colletidae,excavator,OUMNH,
IGproject0963,Colletes,succintus,female,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.429,2.708,8.818,2.288,Colletidae,excavator,OUMNH,
IGproject0964,Colletes,succintus,female,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.471,2.829,8.854,2.36,Colletidae,excavator,OUMNH,
IGproject0965,Colletes,succintus,female,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.376,2.762,7.811,2.247,Colletidae,excavator,OUMNH,
IGproject0966,Colletes,succintus,female,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.422,2.882,8.668,2.265,Colletidae,excavator,OUMNH,
IGproject0967,Colletes,succintus,female,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.457,2.938,8.607,2.331,Colletidae,excavator,OUMNH,
IGproject0968,Colletes,succintus,female,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.508,2.895,9.074,2.407,Colletidae,excavator,OUMNH,
IGproject0969,Colletes,succintus,female,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.486,2.736,8.831,2.401,Colletidae,excavator,OUMNH,
IGproject0970,Colletes,succintus,female,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.339,2.703,8.505,2.271,Colletidae,excavator,OUMNH,
IGproject0971,Colletes,succintus,female,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.481,2.878,8.917,2.317,Colletidae,excavator,OUMNH,
IGproject0972,Colletes,succintus,female,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.554,2.994,8.687,2.473,Colletidae,excavator,OUMNH,
IGproject0973,Colletes,succintus,female,1973,8,27,England,Noth Yorkshire,,Sleddale Beck,3.446,2.669,8.704,2.314,Colletidae,excavator,OUMNH,
IGproject0974,Nomada,flava,female,1916,5,,England,Devon,Paignton,,2.659,1.739,8.921,2.485,Apidae,kleptoparasite,OUMNH,
IGproject0975,Nomada,flava,female,1916,5,,England,Devon,Paignton,,2.747,1.877,9.291,2.572,Apidae,kleptoparasite,OUMNH,
IGproject0976,Nomada,flava,female,1916,5,,England,Devon,Paignton,,2.793,1.947,9.328,2.691,Apidae,kleptoparasite,OUMNH,
IGproject0977,Nomada,flava,female,1916,5,,England,Devon,Paignton,,2.412,1.553,8.013,2.3,Apidae,kleptoparasite,OUMNH,
IGproject0978,Nomada,flava,female,1915,6,3,England,Devon,Brixham,Churston Ferrers,2.933,2.036,9.818,2.796,Apidae,kleptoparasite,OUMNH,
IGproject0979,Nomada,flava,female,1921,5,,England,Devon,Newton Abbot,,2.805,1.979,9.455,2.744,Apidae,kleptoparasite,OUMNH,
IGproject0980,Nomada,flava,female,1916,5,,England,Devon,Paignton,,2.346,1.571,7.976,2.262,Apidae,kleptoparasite,OUMNH,
IGproject0981,Nomada,flava,female,1908,5,30,England,West Midlands,Knowle,,2.784,1.96,9.43,2.806,Apidae,kleptoparasite,OUMNH,
IGproject0982,Nomada,flava,female,1916,5,,England,Devon,Paignton,,2.424,1.613,8.099,2.39,Apidae,kleptoparasite,OUMNH,
IGproject0983,Nomada,flava,female,1915,5,17,England,Gloucestershire,Wotton-under-Edge,,2.789,1.911,9.613,2.664,Apidae,kleptoparasite,OUMNH,
IGproject0984,Nomada,flava,female,1921,5,,England,Devon,Newton Abbot,,2.511,1.648,8.59,2.472,Apidae,kleptoparasite,OUMNH,
IGproject0985,Nomada,flava,female,1915,5,18,England,Gloucestershire,Wotton-under-Edge,,2.833,1.948,9.48,2.777,Apidae,kleptoparasite,OUMNH,
IGproject0986,Nomada,flava,female,1902,5,25,England,Greater London,London,Wimbledon,2.883,2.016,9.881,2.709,Apidae,kleptoparasite,OUMNH,
IGproject0987,Nomada,flava,female,1918,5,19,England,Devon,Paignton,,2.853,1.983,9.605,2.77,Apidae,kleptoparasite,OUMNH,
IGproject0988,Nomada,flava,female,1915,5,18,England,Gloucestershire,Wotton-under-Edge,,2.239,1.387,7.371,2.161,Apidae,kleptoparasite,OUMNH,
IGproject0989,Nomada,flava,female,1918,5,19,England,Devon,Paignton,,2.203,1.369,7.349,2,Apidae,kleptoparasite,OUMNH,
IGproject0990,Nomada,flava,female,1947,5,11,England,Devon,Sheepstor,,2.416,1.675,7.927,2.19,Apidae,kleptoparasite,OUMNH,
